83.72,Recession of tendon
011.91,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done"
35.1,Open heart valvuloplasty without replacement
54.4,Excision or destruction of peritoneal tissue
054.11,Herpetic vulvovaginitis
E967.7,"Perpetrator of child and adult abuse, by other relative"
651.0,Twin pregnancy
530.86,Infection of esophagostomy
663.5,Vasa previa complicating labor and delivery
246.2,Cyst of thyroid
322.2,Chronic meningitis
E965.1,Assault by shotgun
873.0,"Open wound of scalp, without mention of complication"
E924.1,Accident caused by caustic and corrosive substances
80.90,"Other excision of joint, unspecified site"
00.35,Computer assisted surgery with multiple datasets
68.21,Division of endometrial synechiae
34.20,Thoracoscopic pleural biopsy
941.13,Erythema [first degree] of lip(s)
941.11,Erythema [first degree] of ear [any part]
347.10,"Narcolepsy in conditions classified elsewhere, without cataplexy"
992.3,"Heat exhaustion, anhydrotic"
577.1,Chronic pancreatitis
237.0,Neoplasm of uncertain behavior of pituitary gland and craniopharyngeal duct
305.81,"Antidepressant type abuse, continuous"
305.83,"Antidepressant type abuse, in remission"
088.89,"Other specified arthropod-borne diseases, other"
077,Other diseases of conjunctiva due to viruses and Chlamydiae
642.92,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication"
93.96,Other oxygen enrichment
96.57,Irrigation of vascular catheter
804.4,"Closed fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature"
V18.6,Family history of kidney diseases
391.9,"Acute rheumatic heart disease, unspecified"
V70.9,Unspecified general medical examination
642.90,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable"
716.08,"Kaschin-Beck disease, other specified sites"
522,Diseases of pulp and periapical tissues
575.0,Acute cholecystitis
209.61,Benign carcinoid tumor of the bronchus and lung
383.21,Acute petrositis
733,Other disorders of bone and cartilage
V25.3,Menstrual extraction
68.24,Uterine artery embolization [UAE] with coils
202.14,"Mycosis fungoides, lymph nodes of axilla and upper limb"
34.23,Biopsy of chest wall
00.22,Intravascular imaging of intrathoracic vessels
E814.1,Motor vehicle traffic accident involving collision with pedestrian injuring passenger in motor vehicle other than motorcycle
287.39,Other primary thrombocytopenia
900.89,Injury to other specified blood vessels of head and neck
288,Diseases of white blood cells
410.00,"Acute myocardial infarction of anterolateral wall, episode of care unspecified"
88.34,Lymphangiogram of upper limb
22.2,Intranasal antrotomy
046.79,Other and unspecified prion disease of central nervous system
34.3,Excision or destruction of lesion or tissue of mediastinum
066,Other arthropod-borne viral diseases
511,Pleurisy
81.8,Arthroplasty and repair of shoulder and elbow
909.2,Late effect of radiation
674.10,"Disruption of cesarean wound, unspecified as to episode of care or not applicable"
929.0,"Crushing injury of multiple sites, not elsewhere classified"
995.4,"Shock due to anesthesia, not elsewhere classified"
E820,Nontraffic accident involving motor-driven snow vehicle
815.02,Closed fracture of base of other metacarpal bone(s)
961.5,Poisoning by other antiprotozoal drugs
815.00,"Closed fracture of metacarpal bone(s), site unspecified"
704,Diseases of hair and hair follicles
E826.3,Pedal cycle accident injuring occupant of animal-drawn vehicle
564.0,Constipation
E942.2,Antilipemic and antiarteriosclerotic drugs causing adverse effects in therapeutic use
388.43,Impairment of auditory discrimination
995.7,"Other adverse food reactions, not elsewhere classified"
944.55,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of palm of hand"
909.5,"Late effect of adverse effect of drug, medicinal or biological substance"
655.6,"Suspected damage to fetus from radiation, affecting management of mother"
944.53,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of two or more digits of hand, not including thumb"
635.8,Legally induced abortion with unspecified complication
099.5,Other venereal diseases due to Chlamydia trachomatis
45.75,Open and other left hemicolectomy
11.74,Thermokeratoplasty
393,Chronic rheumatic pericarditis
637.9,Unspecified abortion without mention of complication
704.01,Alopecia areata
801.39,"Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with concussion, unspecified"
272.9,Unspecified disorder of lipoid metabolism
415.19,Other pulmonary embolism and infarction
202.44,"Leukemic reticuloendotheliosis, lymph nodes of axilla and upper arm"
22.00,"Aspiration and lavage of nasal sinus, not otherwise specified"
879.7,"Open wound of other and unspecified parts of trunk, complicated"
V26.51,Tubal ligation status
715.31,"Osteoarthrosis, localized, not specified whether primary or secondary, shoulder region"
V05.8,Need for prophylactic vaccination and inoculation against other specified disease
E948.4,Tetanus vaccine causing adverse effects in therapeutic use
753.22,Congenital obstruction of ureterovesical junction
88.94,Magnetic resonance imaging of musculoskeletal
79.76,Closed reduction of dislocation of knee
E982.8,"Poisoning by other specified gases and vapors, undetermined whether accidentally or purposely inflicted"
717.43,Derangement of posterior horn of lateral meniscus
115.12,"Infection by Histoplasma duboisii, retinitis"
364,Disorders of iris and ciliary body
668.02,"Pulmonary complications of anesthesia or other sedation in labor and delivery, delivered, with mention of postpartum complication"
E977,Late effects of injuries due to legal intervention
668.00,"Pulmonary complications of anesthesia or other sedation in labor and delivery, unspecified as to episode of care or not applicable"
054.41,Herpes simplex dermatitis of eyelid
862.0,"Injury to diaphragm, without mention of open wound into cavity"
754.40,Genu recurvatum
964.6,Poisoning by gamma globulin
339.22,Chronic post-traumatic headache
377.13,Optic atrophy associated with retinal dystrophies
99.86,Non-invasive placement of bone growth stimulator
35.7,Other and unspecified repair of atrial and ventricular septa
736.70,"Unspecified deformity of ankle and foot, acquired"
533.2,Acute peptic ulcer of unspecified site with hemorrhage and perforation
339.20,"Post-traumatic headache, unspecified"
756.52,Osteopetrosis
756.50,"Congenital osteodystrophy, unspecified"
371.70,"Corneal deformity, unspecified"
67.6,Other repair of cervix
017.53,"Tuberculosis of thyroid gland, tubercle bacilli found (in sputum) by microscopy"
964.9,Poisoning by unspecified agent affecting blood constituents
624.8,Other specified noninflammatory disorders of vulva and perineum
017.51,"Tuberculosis of thyroid gland, bacteriological or histological examination not done"
295.8,Other specified types of schizophrenia
209.6,Benign carcinoid tumors of other and unspecified sites
90.61,"Microscopic examination of specimen from spleen and of bone marrow, bacterial smear"
601.0,Acute prostatitis
42.2,Diagnostic procedures on esophagus
575,Other disorders of gallbladder
364.01,Primary iridocyclitis
438.14,"Late effects of cerebrovascular disease, fluency disorder"
801.69,"Open fracture of base of skull with cerebral laceration and contusion, with concussion, unspecified"
151.1,Malignant neoplasm of pylorus
17.42,Laparoscopic robotic assisted procedure
41.4,Excision or destruction of lesion or tissue of spleen
848.9,Unspecified site of sprain and strain
10.0,Removal of embedded foreign body from conjunctiva by incision
87.79,Other x-ray of the urinary system
375.33,Phlegmonous dacryocystitis
375.31,"Acute canaliculitis, lacrimal"
590.00,Chronic pyelonephritis without lesion of renal medullary necrosis
750.21,Absence of salivary gland
E905.0,Venomous snakes and lizards causing poisoning and toxic reactions
803.81,"Other open skull fracture with other and unspecified intracranial hemorrhage, with no loss of consciousness"
230.8,Carcinoma in situ of liver and biliary system
444.22,Arterial embolism and thrombosis of lower extremity
250.6,Diabetes with neurological manifestations
865.1,Injury to spleen with open wound into cavity
426.54,Trifascicular block
00.82,"Revision of knee replacement, femoral component"
E867,Accidental poisoning by gas distributed by pipeline
657.00,"Polyhydramnios, unspecified as to episode of care or not applicable"
637.22,"Unspecified abortion, complicated by damage to pelvic organs or tissues, complete"
99.20,Injection or infusion of platelet inhibitor
637.20,"Unspecified abortion, complicated by damage to pelvic organs or tissues, unspecified"
E826,Pedal cycle accident
E836.6,"Machinery accident in water transport injuring dockers, stevedores"
75.31,Amnioscopy
527.1,Hypertrophy of salivary gland
366.13,Anterior subcapsular polar senile cataract
536.3,Gastroparesis
825.25,Closed fracture of metatarsal bone(s)
556.1,Ulcerative (chronic) ileocolitis
43.11,Percutaneous [endoscopic] gastrostomy [PEG]
346.33,"Hemiplegic migraine, with intractable migraine, so stated, with status migrainosus"
346.31,"Hemiplegic migraine, with intractable migraine, so stated, without mention of status migrainosus"
E813.9,Motor vehicle traffic accident involving collision with other vehicle injuring unspecified person
691,Atopic dermatitis and related conditions
362.77,Dystrophies primarily involving Bruch's membrane
87.7,X-ray of urinary system
173.4,Other and unspecified malignant neoplasm of scalp and skin of neck
E980.6,"Poisoning by corrosive and caustic substances, undetermined whether accidentally or purposely inflicted"
702.19,Other seborrheic keratosis
V84.04,Genetic susceptibility to malignant neoplasm of endometrium
75.91,Evacuation of obstetrical incisional hematoma of perineum
284.8,Other specified aplastic anemias
E935,"Analgesics, antipyretics, and antirheumatics causing adverse effects in therapeutic use"
369.25,Better eye: moderate vision impairment; lesser eye: moderate vision impairment
635.40,"Legally induced abortion, complicated by metabolic disorder, unspecified"
369.23,Better eye: moderate vision impairment; lesser eye: impairment not further specified
673.31,"Obstetrical pyemic and septic embolism, delivered, with or without mention of antepartum condition"
371.14,Kayser-Fleischer ring
22.60,"Sinusectomy, not otherwise specified"
56.61,Formation of other cutaneous ureterostomy
371.12,Stromal corneal pigmentations
673.33,"Obstetrical pyemic and septic embolism, antepartum condition or complication"
852.16,"Subarachnoid hemorrhage following injury with open intracranial wound, with loss of consciousness of unspecified duration"
728.82,Foreign body granuloma of muscle
730.71,"Osteopathy resulting from poliomyelitis, shoulder region"
296.06,"Bipolar I disorder, single manic episode, in full remission"
477.8,Allergic rhinitis due to other allergen
38.18,"Endarterectomy, lower limb arteries"
996.03,Mechanical complication due to coronary bypass graft
E922.9,Accident caused by unspecified firearm missile
